WBGeneID,class
WBGene00015598,ClassC
WBGene00015602,ClassB
WBGene00015605,ClassD
WBGene00015608,ClassB
WBGene00015677,ClassD
WBGene00015687,ClassD
WBGene00015693,ClassD
WBGene00015695,ClassD
WBGene00015701,ClassC
WBGene00015713,ClassB
WBGene00015728,ClassA
WBGene00015759,ClassA
WBGene00015768,ClassA
WBGene00015783,ClassA
WBGene00015784,ClassA
WBGene00015789,ClassA
WBGene00015800,ClassD
WBGene00015823,ClassD
WBGene00015829,ClassC
WBGene00015889,ClassA
WBGene00015913,ClassB
WBGene00015928,ClassC
WBGene00015933,ClassA
WBGene00015947,ClassC
WBGene00015955,ClassD
WBGene00015956,ClassB
WBGene00015988,ClassD
WBGene00016004,ClassB
WBGene00016027,ClassA
WBGene00016048,ClassA
WBGene00016052,ClassA
WBGene00016061,ClassB
WBGene00016064,ClassC
WBGene00016066,ClassC
WBGene00016074,ClassD
WBGene00016111,ClassD
WBGene00016134,ClassA
WBGene00016191,ClassB
WBGene00016217,ClassA
WBGene00016218,ClassC
WBGene00016219,ClassC
WBGene00016274,ClassD
WBGene00016302,ClassC
WBGene00016315,ClassD
WBGene00016335,ClassB
WBGene00016379,ClassC
WBGene00016425,ClassB
WBGene00016431,ClassA
WBGene00016450,ClassB
WBGene00016542,ClassC
WBGene00016544,ClassB
WBGene00016556,ClassA
WBGene00016599,ClassC
WBGene00016705,ClassA
WBGene00016757,ClassB
WBGene00016758,ClassA
WBGene00016759,ClassD
WBGene00016845,ClassB
WBGene00016883,ClassB
WBGene00016888,ClassD
WBGene00016912,ClassA
WBGene00016934,ClassC
WBGene00016939,ClassB
WBGene00016976,ClassD
WBGene00016987,ClassD
WBGene00016997,ClassD
WBGene00017027,ClassA
WBGene00017071,ClassA
WBGene00017093,ClassA
WBGene00017241,ClassD
WBGene00017257,ClassB
WBGene00017291,ClassA
WBGene00017302,ClassC
WBGene00017332,ClassA
WBGene00017334,ClassD
WBGene00017369,ClassA
WBGene00017398,ClassB
WBGene00017427,ClassB
WBGene00017434,ClassB
WBGene00017443,ClassB
WBGene00017448,ClassC
WBGene00017449,ClassC
WBGene00017498,ClassA
WBGene00017501,ClassB
WBGene00017515,ClassA
WBGene00017522,ClassC
WBGene00017574,ClassA
WBGene00017592,ClassB
WBGene00017612,ClassA
WBGene00017625,ClassB
WBGene00017651,ClassC
WBGene00017667,ClassB
WBGene00017678,ClassC
WBGene00017687,ClassB
WBGene00017691,ClassA
WBGene00017726,ClassD
WBGene00017765,ClassA
WBGene00017771,ClassA
WBGene00017837,ClassC
WBGene00017881,ClassA
WBGene00017892,ClassC
WBGene00017905,ClassB
WBGene00017957,ClassB
WBGene00017969,ClassB
WBGene00017971,ClassC
WBGene00018024,ClassD
WBGene00018036,ClassB
WBGene00018138,ClassB
WBGene00018146,ClassA
WBGene00018152,ClassC
WBGene00018195,ClassA
WBGene00018200,ClassA
WBGene00018207,ClassC
WBGene00018226,ClassC
WBGene00018241,ClassB
WBGene00018274,ClassD
WBGene00018280,ClassC
WBGene00018283,ClassD
WBGene00018314,ClassD
WBGene00018343,ClassB
WBGene00018350,ClassB
WBGene00018353,ClassC
WBGene00018384,ClassA
WBGene00018398,ClassC
WBGene00018435,ClassA
WBGene00018466,ClassA
WBGene00018547,ClassC
WBGene00018595,ClassD
WBGene00018602,ClassA
WBGene00018636,ClassD
WBGene00018645,ClassA
WBGene00018646,ClassB
WBGene00018683,ClassA
WBGene00018704,ClassC
WBGene00018708,ClassA
WBGene00018731,ClassA
WBGene00018732,ClassD
WBGene00018760,ClassA
WBGene00018779,ClassA
WBGene00018806,ClassD
WBGene00018823,ClassA
WBGene00018886,ClassB
WBGene00018903,ClassD
WBGene00018907,ClassB
WBGene00018931,ClassB
WBGene00018971,ClassB
WBGene00018991,ClassD
WBGene00019014,ClassB
WBGene00019017,ClassB
WBGene00019068,ClassA
WBGene00019097,ClassA
WBGene00019100,ClassD
WBGene00019104,ClassA
WBGene00019105,ClassA
WBGene00019127,ClassC
WBGene00019164,ClassA
WBGene00019166,ClassC
WBGene00019211,ClassD
WBGene00019215,ClassA
WBGene00019225,ClassB
WBGene00019261,ClassA
WBGene00019273,ClassC
WBGene00019327,ClassD
WBGene00019344,ClassC
WBGene00019351,ClassC
WBGene00019368,ClassA
WBGene00019373,ClassC
WBGene00019411,ClassD
WBGene00019445,ClassA
WBGene00019493,ClassB
WBGene00019549,ClassA
WBGene00019564,ClassD
WBGene00019579,ClassB
WBGene00019590,ClassA
WBGene00019617,ClassA
WBGene00019618,ClassA
WBGene00019619,ClassA
WBGene00019624,ClassD
WBGene00019645,ClassD
WBGene00019668,ClassA
WBGene00019674,ClassA
WBGene00019682,ClassB
WBGene00019699,ClassA
WBGene00019720,ClassB
WBGene00019738,ClassB
WBGene00019743,ClassD
WBGene00019748,ClassA
WBGene00019770,ClassD
WBGene00019779,ClassA
WBGene00019803,ClassB
WBGene00019830,ClassB
WBGene00019844,ClassC
WBGene00019869,ClassA
WBGene00019894,ClassD
WBGene00019895,ClassB
WBGene00019914,ClassA
WBGene00019917,ClassC
WBGene00019931,ClassC
WBGene00019957,ClassB
WBGene00019962,ClassC
WBGene00019978,ClassB
WBGene00019986,ClassA
WBGene00020022,ClassA
WBGene00020034,ClassA
WBGene00020080,ClassA
WBGene00020094,ClassD
WBGene00020128,ClassC
WBGene00020139,ClassA
WBGene00020182,ClassB
WBGene00020191,ClassA
WBGene00020247,ClassA
WBGene00020256,ClassB
WBGene00020258,ClassB
WBGene00020280,ClassB
WBGene00020325,ClassC
WBGene00020326,ClassA
WBGene00020340,ClassB
WBGene00020357,ClassC
WBGene00020359,ClassB
WBGene00020378,ClassA
WBGene00020393,ClassA
WBGene00020401,ClassA
WBGene00020449,ClassB
WBGene00020453,ClassB
WBGene00020455,ClassC
WBGene00020456,ClassC
WBGene00020472,ClassC
WBGene00020532,ClassC
WBGene00020574,ClassA
WBGene00020576,ClassB
WBGene00020577,ClassA
WBGene00020579,ClassB
WBGene00020631,ClassA
WBGene00020662,ClassA
WBGene00020728,ClassA
WBGene00020736,ClassD
WBGene00020741,ClassA
WBGene00020770,ClassC
WBGene00020771,ClassC
WBGene00020786,ClassD
WBGene00020788,ClassA
WBGene00020791,ClassC
WBGene00020799,ClassA
WBGene00020847,ClassA
WBGene00020938,ClassA
WBGene00020943,ClassA
WBGene00020989,ClassA
WBGene00021048,ClassC
WBGene00021060,ClassA
WBGene00021082,ClassC
WBGene00021121,ClassD
WBGene00021160,ClassA
WBGene00021167,ClassB
WBGene00021178,ClassC
WBGene00021190,ClassA
WBGene00021262,ClassB
WBGene00021281,ClassA
WBGene00021321,ClassA
WBGene00021322,ClassC
WBGene00021325,ClassC
WBGene00021352,ClassC
WBGene00021396,ClassC
WBGene00021496,ClassD
WBGene00021500,ClassC
WBGene00021503,ClassA
WBGene00021519,ClassD
WBGene00021535,ClassC
WBGene00021583,ClassB
WBGene00021585,ClassD
WBGene00021586,ClassA
WBGene00021587,ClassA
WBGene00021589,ClassD
WBGene00021590,ClassC
WBGene00021602,ClassC
WBGene00021635,ClassC
WBGene00021768,ClassC
WBGene00021772,ClassA
WBGene00021814,ClassB
WBGene00021820,ClassC
WBGene00021852,ClassA
WBGene00021860,ClassB
WBGene00021872,ClassA
WBGene00021879,ClassB
WBGene00022061,ClassA
WBGene00022178,ClassC
WBGene00022181,ClassB
WBGene00022200,ClassB
WBGene00022203,ClassD
WBGene00022246,ClassB
WBGene00022261,ClassB
WBGene00022275,ClassC
WBGene00022276,ClassA
WBGene00022326,ClassC
WBGene00022337,ClassB
WBGene00022345,ClassB
WBGene00022346,ClassB
WBGene00022382,ClassC
WBGene00022411,ClassA
WBGene00022413,ClassB
WBGene00022487,ClassA
WBGene00022497,ClassC
WBGene00022505,ClassD
WBGene00022515,ClassA
WBGene00022562,ClassB
WBGene00022571,ClassA
WBGene00022597,ClassA
WBGene00022610,ClassB
WBGene00022615,ClassD
WBGene00022642,ClassA
WBGene00022643,ClassA
WBGene00022644,ClassC
WBGene00022721,ClassC
WBGene00022736,ClassD
WBGene00022782,ClassD
WBGene00022816,ClassA
WBGene00022830,ClassC
WBGene00022868,ClassA
WBGene00022870,ClassA
WBGene00023423,ClassD
WBGene00023432,ClassB
WBGene00023485,ClassB
WBGene00043983,ClassB
WBGene00044045,ClassA
WBGene00044107,ClassB
WBGene00044206,ClassA
WBGene00044280,ClassD
WBGene00044291,ClassA
WBGene00044296,ClassA
WBGene00044381,ClassA
WBGene00044382,ClassA
WBGene00044403,ClassB
WBGene00044421,ClassA
WBGene00044455,ClassA
WBGene00044457,ClassA
WBGene00044458,ClassC
WBGene00044469,ClassA
WBGene00044481,ClassA
WBGene00044485,ClassA
WBGene00044488,ClassA
WBGene00044500,ClassD
WBGene00044611,ClassD
WBGene00044672,ClassC
WBGene00044696,ClassA
WBGene00044707,ClassC
WBGene00044761,ClassB
WBGene00044770,ClassC
WBGene00044776,ClassB
WBGene00044792,ClassA
WBGene00044807,ClassA
WBGene00044990,ClassA
WBGene00045013,ClassB
WBGene00045048,ClassD
WBGene00045252,ClassA
WBGene00045305,ClassD
WBGene00045365,ClassA
WBGene00045397,ClassB
WBGene00045455,ClassA
WBGene00045457,ClassC
WBGene00050899,ClassA
WBGene00050967,ClassA
WBGene00077757,ClassA
WBGene00077783,ClassA
WBGene00077786,ClassA
WBGene00185092,ClassA
WBGene00189950,ClassA
